Day;Min;Max
6.2.2020;11.53;14.48
7.2.2020;9.13;14.56
8.2.2020;12.00;12.25
9.2.2020;11.96;12.00
10.2.2020;11.94;14.89
11.2.2020;9.21;14.70
12.2.2020;11.10;14.75
13.2.2020;11.29;12.41
14.2.2020;11.33;14.58
15.2.2020;12.08;12.30
16.2.2020;12.02;12.08
17.2.2020;11.99;14.89
18.2.2020;11.39;14.79
19.2.2020;12.28;14.64
20.2.2020;11.41;12.58
21.2.2020;11.25;14.79
22.2.2020;12.08;12.31
23.2.2020;12.05;12.47
24.2.2020;12.10;14.48
25.2.2020;12.19;14.40
26.2.2020;11.41;12.61
27.2.2020;12.30;12.55
28.2.2020;12.19;12.56
29.2.2020;8.65;12.17
1.3.2020;12.03;12.44
2.3.2020;11.57;12.63
3.3.2020;12.39;14.51
4.3.2020;12.35;14.61
5.3.2020;12.35;12.53
6.3.2020;11.43;12.53
7.3.2020;12.16;12.36
8.3.2020;12.10;12.44
9.3.2020;11.30;14.30
10.3.2020;12.25;14.51
11.3.2020;12.35;12.50
12.3.2020;12.27;12.46
13.3.2020;12.22;14.58
14.3.2020;12.24;12.49
15.3.2020;11.58;12.47
16.3.2020;12.17;12.31
17.3.2020;9.07;12.55
18.3.2020;12.08;12.31
19.3.2020;8.40;14.67
20.3.2020;11.30;12.46
21.3.2020;12.08;12.21
22.3.2020;8.49;12.58
23.3.2020;12.30;12.55
24.3.2020;12.14;12.28
25.3.2020;12.11;12.17
26.3.2020;12.05;12.13
27.3.2020;12.00;12.08
28.3.2020;9.77;12.38
29.3.2020;11.86;12.11
30.3.2020;11.88;11.92
31.3.2020;11.85;11.91
1.4.2020;11.83;12.10
2.4.2020;11.82;12.38
3.4.2020;11.88;12.17
4.4.2020;11.88;11.96
5.4.2020;11.77;11.88
6.4.2020;11.74;11.83
7.4.2020;11.55;14.54
8.4.2020;11.88;12.05
9.4.2020;11.04;14.37
10.4.2020;11.99;12.14
11.4.2020;11.88;12.00
12.4.2020;11.80;11.88
13.4.2020;11.77;11.83
14.4.2020;11.71;12.91
15.4.2020;11.75;11.94
16.4.2020;8.49;14.44
17.4.2020;11.83;11.97
18.4.2020;11.75;11.82
19.4.2020;11.69;11.75
20.4.2020;11.63;11.69
21.4.2020;11.53;11.61
22.4.2020;11.50;12.00
23.4.2020;11.80;11.97
24.4.2020;11.69;11.78
25.4.2020;11.61;11.68
26.4.2020;11.53;11.63
27.4.2020;11.46;11.53
28.4.2020;11.32;11.46
29.4.2020;11.33;11.99
30.4.2020;11.75;11.94
1.5.2020;11.63;11.74
2.5.2020;11.58;11.72
3.5.2020;11.47;11.60
4.5.2020;7.20;12.10
5.5.2020;11.80;11.86

