DAY,TESTS,POSITIVE,DEAD_TODAY,POSITIVE_RATIO,DEAD_POSITIVE_RATIO,DEAD_TOMORROW
14.3.2020,500,6,0,0.012,0,0
15.3.2020,845,12,0,0.014201183,0,0
16.3.2020,1000,29,0,0.029,0,1
17.3.2020,2000,51,1,0.0255,0.019607843,1
18.3.2020,2500,93,1,0.0372,0.010752688,2
19.3.2020,3000,168,2,0.056,0.011904762,5
20.3.2020,3500,311,5,0.088857143,0.01607717,12
21.3.2020,3500,277,12,0.079142857,0.0433213,9
22.3.2020,3500,289,9,0.082571429,0.031141869,7
23.3.2020,3672,293,7,0.079793028,0.023890785,7
24.3.2020,3952,343,7,0.086791498,0.020408163,15
25.3.2020,5035,561,15,0.11142006,0.026737968,16
26.3.2020,7286,1196,16,0.164150425,0.013377926,17
27.3.2020,7533,2069,17,0.274658171,0.00821653,16
28.3.2020,7641,1704,16,0.22300746,0.009389671,23
29.3.2020,9982,1815,23,0.181827289,0.012672176,37
30.3.2020,11535,1610,37,0.139575206,0.022981366,46
31.3.2020,15422,2704,46,0.175333939,0.017011834,63
1.4.2020,14396,2148,63,0.149208113,0.029329609,79
2.4.2020,18757,2456,79,0.130937783,0.032166124,69
3.4.2020,16160,2786,69,0.17240099,0.024766691,76
4.4.2020,19664,3013,76,0.153224166,0.025224029,73
5.4.2020,20065,3135,73,0.156242213,0.023285486,75
6.4.2020,21400,3148,75,0.147102804,0.023824651,76
7.4.2020,20023,3892,76,0.194376467,0.019527235,87
8.4.2020,24900,4117,87,0.165341365,0.021131892,96
9.4.2020,28578,4056,96,0.141927357,0.023668639,98
10.4.2020,30864,4747,98,0.153803784,0.020644618,95
11.4.2020,33170,5138,95,0.154899005,0.018489685,97
12.4.2020,35720,4789,97,0.134070549,0.02025475,98
13.4.2020,34456,4093,98,0.11878918,0.023943318,107
14.4.2020,33070,4062,107,0.12283036,0.026341704,115
15.4.2020,34090,4281,115,0.125579349,0.026862883,125
16.4.2020,40427,4801,125,0.118757266,0.026036242,126
17.4.2020,40270,4353,126,0.108095356,0.028945555,121
18.4.2020,40520,3783,121,0.093361303,0.031985197,127
19.4.2020,35344,3977,127,0.112522635,0.031933618,123
20.4.2020,39703,4674,123,0.117724101,0.026315789,119
21.4.2020,39429,4611,119,0.116944381,0.025807851,117
22.4.2020,37535,3083,117,0.082136672,0.037950049,115
23.4.2020,40962,3116,115,0.076070504,0.03690629,109
24.4.2020,38351,3122,109,0.081405961,0.034913517,106
25.4.2020,38308,2861,106,0.074684139,0.037049983,99
26.4.2020,30177,2357,99,0.078105842,0.042002546,95
27.4.2020,20143,2131,95,0.105793576,0.044580009,92
28.4.2020,29230,2392,92,0.081833732,0.038461538,89
29.4.2020,43498,2936,89,0.067497356,0.030313351,93
30.4.2020,42004,2615,93,0.062255976,0.035564054,84
1.5.2020,41431,2188,84,0.052810697,0.038391225,
